HotelName,Location,Price,Rating,DistanceFromCenter,RoomType,OriginalPrice,PricePerNight,Discount
Luxury Business Bay Studio with breathtaking views.,Business Bay,1231.0,9.8,1.2,One-Bedroom Apartment,1231.0,307.75,0.0
Stella Di Mare Dubai Marina Hotel,Dubai Marina,1529.0,8.4,19.8,Deluxe Twin Room (Free Shuttle Bus to The Beach and Marina Mall),1529.0,382.25,0.0
Raintree Rolla Hotel,Bur Dubai,305.0,5.5,7.2,Deluxe Room (Monthly Rate Available),305.0,76.25,0.0
Luxurious 2 Bedroom Apartment In Belgravia 3,Dubai,818.0,5.5,16.7,Two-Bedroom Apartment,818.0,204.5,0.0
"Rove La Mer Beach, Jumeirah",Beach & Coast,1365.0,9.0,3.9,"Rover Room Free Shuttle Service to Dubai Mall, Private Beach",1365.0,341.25,0.0
Stunning 2 Bdr Luxury Business Bay,Business Bay,3617.0,9.0,2.1,Two-Bedroom Apartment,3617.0,904.25,0.0
FIRST CLASS - 1BR - DUBAI Marina,Dubai,920.0,9.0,18.2,One-Bedroom Apartment,920.0,230.0,0.0
Sunshine Stay in Marina,Dubai Marina,909.0,9.0,17.2,Bed in 10-Bed Mixed Dormitory Room,1136.0,227.25,19.98
voco Dubai The Palm by IHG,Palm Jumeirah,1339.0,9.0,16.3,Deluxe King Room,1339.0,334.75,0.0
"Courtyard by Marriott World Trade Centre, Dubai",Al Satwa,1328.0,9.2,3.8,Standard King Room with City View,1328.0,332.0,0.0
Studio close to Burj Khalifa and Downtown Dubai,Downtown Dubai,1101.0,9.2,1.1,One-Bedroom Apartment,1101.0,275.25,0.0
Le Méridien Dubai Hotel & Conference Centre,Garhoud,1126.0,8.7,9.7,"Deluxe Room, Guest Room, Garden View",1126.0,281.5,0.0
ibis Styles Dubai Gold District,Deira,460.0,8.0,9.0,Superior Queen Room,460.0,115.0,0.0
Gulf Court Hotel Business Bay,Business Bay,813.0,8.1,1.4,Superior Room,813.0,203.25,0.0
Grand Millennium Dubai,Barsha Heights (Tecom),1065.0,9.1,14.2,Superior King Room,1065.0,266.25,0.0
Rove JBR,Jumeirah Beach Residence,1427.0,9.6,18.3,Rover Room with COVEBEACH access,1427.0,356.75,0.0
Golden Sands Hotel Apartments,Bur Dubai,897.0,8.5,6.7,Premier Studio - Golden Sands 3,897.0,224.25,0.0
GuestReady - Modern urban retreat in JLT,Jumeirah Lakes Towers,2407.0,8.5,17.6,Apartment with Balcony,2407.0,601.75,0.0
"Brand new, Stylish Studio",Dubai,612.0,8.5,14.5,One-Bedroom Apartment,612.0,153.0,0.0
Paramount Hotel Midtown,Business Bay,1577.0,8.9,0.7,Scene Coastal Room,1577.0,394.25,0.0
Modern Urban Studio With Skyline Views,Dubai,947.0,8.9,30.5,Deluxe Double Studio,947.0,236.75,0.0
Spacious 2br Townhouse At Urbana 3 Move In Ready,Dubai,1136.0,8.9,37.6,Two-Bedroom Apartment,1136.0,284.0,0.0
GuestReady - West Side Studios in Palm Jumeirah,Palm Jumeirah,2707.0,8.9,16.4,Studio with Balcony,2707.0,676.75,0.0
Elegant 1-BR at Dubai Opera Stay,Dubai,2045.0,8.9,250.0,One-Bedroom Apartment,2045.0,511.25,0.0
